16 38
0 1
0 3
0 10
0 14
1 2
1 14
2 3
2 8
2 7
2 14
3 4
3 11
3 14
4 5
4 4
4 14
5 6
5 15
5 11
5 10
6 7
6 10
6 11
6 9
6 12
7 8
7 14
7 13
8 9
9 10
9 15
9 12
10 11
10 15
11 12
11 15
12 13
15 15
0 1
0 9
0 12
0 2
1 2
1 8
1 1
1 3
1 5
1 10
2 3
2 11
2 12
3 4
3 7
3 14
4 5
4 13
5 6
5 10
5 7
5 5
6 7
7 8
7 13
7 11
8 9
8 13
9 10
9 12
9 14
10 11
10 12
10 13
11 12
12 13
12 15
13 14
0 1
0 10
0 0
0 15
1 2
1 6
1 11
2 3
2 4
2 10
2 14
2 13
3 4
3 8
3 5
3 13
4 5
4 8
4 9
4 12
5 6
5 13
5 15
5 14
6 7
6 10
6 15
7 8
7 10
8 9
8 10
9 10
10 11
10 12
11 12
12 13
12 15
13 14
0 1
0 6
0 14
1 2
1 5
2 3
2 14
2 7
2 12
2 8
3 4
3 11
3 9
3 7
3 12
3 14
3 8
4 5
4 12
4 13
5 6
5 9
5 13
5 12
5 10
6 7
6 11
7 8
7 14
7 10
8 9
8 8
8 15
9 10
10 11
10 14
11 12
12 13
0 1
0 15
0 4
0 12
0 13
0 0
1 2
1 8
1 15
1 11
1 5
2 3
3 4
3 15
3 5
3 11
4 5
4 7
4 11
5 6
6 7
6 9
6 10
7 8
7 11
8 9
8 10
8 12
8 11
9 10
9 15
9 13
10 11
10 12
10 14
11 12
11 13
12 13
