21 140
0 1
0 4
0 15
0 7
0 11
0 8
0 10
0 19
0 17
0 20
1 2
1 19
1 11
1 7
1 18
1 17
1 8
1 12
1 16
1 14
1 4
1 3
1 6
1 10
2 3
2 12
2 20
2 17
2 6
2 19
2 11
2 16
3 4
3 8
3 6
3 5
3 20
3 19
3 14
3 9
3 10
3 7
3 11
3 12
4 5
4 7
4 14
4 11
4 8
4 20
4 10
4 18
4 13
4 6
5 6
5 15
5 13
5 19
5 16
5 9
5 11
5 20
5 17
5 7
5 18
5 8
5 12
6 7
6 16
6 17
6 18
6 14
6 12
6 13
6 15
6 20
6 11
7 8
7 11
7 18
7 20
7 12
7 9
7 10
8 9
8 10
8 16
8 19
8 13
8 11
8 14
8 17
9 10
9 14
9 16
9 12
9 20
10 11
10 15
10 17
10 13
10 19
10 20
10 16
10 18
11 12
11 13
11 17
11 14
11 19
11 16
11 15
12 13
12 20
12 17
12 18
12 14
12 19
12 15
13 14
13 20
13 16
13 18
13 19
14 15
14 17
14 20
14 18
14 16
15 16
15 17
15 20
15 18
15 19
16 17
16 18
17 18
17 19
18 19
19 20
