21 48
0 1
0 15
0 10
0 5
0 17
1 2
1 15
1 9
1 17
1 20
1 3
2 3
2 11
2 9
2 10
3 4
3 7
3 18
4 5
5 6
5 8
5 13
6 7
6 20
6 18
6 19
7 8
7 10
7 11
8 9
8 15
8 19
9 10
9 15
9 13
10 11
10 20
11 12
11 18
12 13
12 17
13 14
14 15
14 19
15 16
16 17
17 18
20 19
0 1
0 12
0 5
0 10
1 2
1 3
2 3
2 18
3 4
3 20
3 5
3 11
3 10
3 15
4 5
4 18
5 6
5 13
6 7
6 13
6 20
6 17
6 12
7 8
7 20
7 18
7 12
7 11
8 9
8 18
9 10
9 19
10 11
10 17
10 15
10 19
10 20
10 14
11 12
12 13
12 16
13 14
13 18
14 15
15 16
15 18
16 17
17 18
0 1
0 10
0 11
0 8
1 2
1 14
2 3
2 6
2 11
2 4
3 4
3 5
4 5
5 6
5 10
5 16
6 7
6 20
6 11
6 17
6 8
7 8
7 17
7 20
7 15
7 9
7 10
8 9
8 19
8 15
8 17
9 10
9 17
10 11
10 19
10 20
11 12
11 17
12 13
12 14
13 14
13 15
14 15
15 16
15 18
16 17
16 18
17 18
0 1
0 11
0 7
1 2
1 20
1 18
2 3
2 18
2 9
3 4
3 7
3 13
3 8
4 5
4 6
4 12
4 17
4 20
5 6
5 19
5 12
6 7
6 9
6 11
6 10
6 8
7 8
7 17
8 9
8 17
9 10
9 17
9 12
10 11
10 20
11 12
12 13
12 16
13 14
13 20
14 15
14 18
14 17
15 16
15 20
16 17
16 18
17 18
